word,dim1,dim2,dim3
トラック,-0.49890238,0.29612568,5.41146e-2
バス,-0.5877145,0.39515203,2.4256764e-2
バラ,0.49000084,-6.9677435e-2,-0.49466914
ヒマワリ,0.35312054,-9.887413e-2,-0.5060688
マグロ,-9.4961315e-2,-0.35529038,0.4487209
乗り物,-0.5877483,0.3950596,2.4310615e-2
動物,-9.054246e-2,-0.39749476,0.5312038
国語,0.26949456,0.2300892,3.4330063e-2
教科,0.27229756,0.22785778,3.2726366e-2
松,0.4946098,-7.043515e-2,-0.498716
桜,0.49313706,-7.010918e-2,-0.4969233
植物,0.4929159,-7.12507e-2,-0.49919766
歴史,0.21725902,0.13388675,1.0162141e-2
犬,-8.9687966e-2,-0.3956445,0.5306609
猫,-9.006431e-2,-0.39587307,0.52892643
理科,0.27065986,0.22675294,3.187918e-2
社会,0.22113292,0.1343317,8.088694e-3
算数,0.26993206,0.22937453,3.3301342e-2
花びら,0.3539675,-9.882775e-2,-0.5060791
荷台,-0.4986962,0.2975589,5.2945852e-2
車,-0.5088238,0.30758002,5.018453e-2
電車,-0.58577245,0.39327303,2.4617648e-2
魚,-9.502792e-2,-0.35430685,0.44687897
鳥,-8.987473e-2,-0.39544803,0.52983785
