word,dim1,dim2,dim3
お宅,-4.6955593e-2,-4.450163e-2,-3.976599e-2
お家,-0.27655324,0.50690365,0.61490446
はしか,-0.91397953,0.14505582,-8.818922e-3
アビタシオン,-5.487118e-2,6.6998214e-3,-5.169585e-2
コンドミニアム,0.39491913,-1.4354747e-2,0.74060464
ハイム,-6.8274505e-2,2.0675974e-2,-2.7727135e-3
ハウス,-0.45483378,0.6232245,-0.42210495
ホーム,-6.168842e-2,3.113206e-3,-0.106278405
メゾン,-0.7442457,0.2043275,0.3979341
人家,-0.7586024,6.4161785e-2,-0.15536714
人屋,-0.67778707,-0.50122017,-0.16394414
令堂,0.13924935,-0.7210213,-0.44169095
住,-6.2050063e-2,-0.3538146,0.80896205
住い,-0.10663011,4.5621358e-2,-6.1645105e-2
住まい,-0.1438691,-0.8932248,5.9639413e-2
住みか,-0.10998899,5.139185e-2,-4.867754e-2
住み処,-3.8413413e-2,-2.932817e-2,-5.2110996e-2
住み家,-5.80849e-2,-6.004715e-3,-8.300829e-2
住処,-8.198109e-2,7.834025e-4,-6.1419953e-2
住宅,0.6714994,-0.3408891,-0.21539775
住家,-5.245198e-2,-3.560099e-3,-5.5635918e-2
住居,-5.9597053e-2,-2.2356488e-2,-2.6710194e-2
住屋,-4.279245e-2,-5.05129e-4,-1.2397909e-2
入植,0.8490087,2.3037696e-2,9.185626e-2
宅,-6.860619e-2,1.2850651e-2,-5.1532757e-2
実家,-5.0649684e-2,-2.3102919e-3,-6.9998756e-2
室,-6.020488e-2,1.0190942e-2,-4.2971514e-2
室家,1.1814957e-2,8.8038705e-3,-0.10156684
家,-8.9478016e-2,2.957893e-2,-4.0579807e-2
家作,-3.3359487e-2,-1.8950988e-2,-6.977862e-2
家処,6.1933235e-3,1.0301016e-2,-0.107322276
家宅,-6.811217e-2,-5.784541e-3,-4.523227e-2
家居,-9.942801e-2,4.579018e-2,-4.9871836e-2
家屋,-5.7825714e-2,-3.0478062e-3,-6.746332e-2
家所,0.7156874,0.15461884,0.5261526
宿,0.46735844,0.40057808,-0.59043676
宿り,0.5243875,0.32556412,0.6900682
居,9.551263e-2,-0.6358123,0.5334163
居住,-0.23368609,0.8045552,0.35318527
居宅,-6.976083e-2,1.5605939e-2,-8.0778286e-2
居所,-0.5881834,6.7096986e-3,-0.6690024
居館,-2.877181e-2,8.318648e-4,-5.5755265e-2
屋,-4.4747435e-2,1.9160278e-2,-9.311609e-2
屋宇,0.4063795,-0.34482634,0.5404329
建屋,0.15046173,0.8106586,-0.2682802
戸,-0.15336269,-0.21211874,-0.80257046
棲み家,-7.5830266e-2,-1.0779221e-3,-7.090987e-2
棲家,-4.9116578e-2,-6.3578086e-4,-5.1418275e-2
自宅,-6.039634e-2,-3.035418e-3,-5.49146e-2
邸,-4.319865e-2,-1.805218e-2,-5.4998115e-2
邸宅,0.7302095,0.44473332,0.22312438
風疹,0.19207218,-0.18347561,-0.90031993
館,2.9361888e-3,-2.0019485e-2,-9.45881e-2
麻疹,-8.4109545e-2,-0.8941811,-0.15994878
